Key	Value
[NAME]打开石匣，发现其中装有一瓶丹药。	[NAME] opened the stone chest and discovered an Elixir inside.
[NAME]打开石匣，发现其中藏有一些珍贵的材料。	[NAME] opened the stone chest and discovered valuable Materials inside.
[NAME]打开石匣，发现其中藏有一件古代奇珍，竟然可以镇压风水。	[NAME] opened the stone chest and discovered a treasure inside that can influence Feng Shui.
[NAME]打开石匣，竟然在其中发现一本书册。	[NAME] opened the stone chest and discovered a tome inside.
[NAME]打开石匣，竟然在其中发现一门神通。	[NAME] opened the stone chest and discovered a method to perform a Miracle inside.
[NAME]打开石匣，竟然在其中发现一本秘籍。	[NAME] opened the stone chest and discovered a Manual inside.
[NAME]打开石匣，瞬间一道七彩光华直冲云霄，这平凡无奇的石匣中竟然藏有一本上古失传的功法传承。	[NAME] opened the stone chest and a burst of light shot out into the sky. There was a manual detailing an ancient lost Law inside.
以[NAME]的神道修为完全无法引动此物之中的气息。	With [NAME]'s level of cultivation, it's impossible to use this.
[NAME]无法炼化此物。	[NAME] couldn't use this.
[NAME]成功引动了雷公护法之力，化为神国护法。	[NAME] successfully comprehended the power of Father of Thunder and turned them into a Divine Realm Guard.
[NAME]成功引动了电母护法之力，化为神国护法。	[NAME] successfully comprehended the power of Mother of Lightning and turned them into a Divine Realm Guard.
[NAME]成功引动了云霆神将护法之力，化为神国护法。	[NAME] successfully comprehended the power of Thunder General and turned them into a Divine Realm Guard.
[NAME]成功引动了御雷神将护法之力，化为神国护法。	[NAME] successfully comprehended the power of Cloud General and turned them into a Divine Realm Guard.
[NAME]成功引动了列缺使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Skyrift Messenger and turned them into a Divine Realm Guard.
[NAME]成功引动了霹雳使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Bolt Messenger and turned them into a Divine Realm Guard.
[NAME]成功引动了神宵使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Evernight Messenger and turned them into a Divine Realm Guard.
[NAME]成功引动了天都使护法之力，化为神国护法。	[NAME] successfully comprehended the power of Celeste Messenger and turned them into a Divine Realm Guard.
